Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
5arnx9eaOcs,The Enduring Challenge of a Moral Economy,20-Apr-18,7311,276,307,175,5602,1945.8481,41,78197,1.57
4S6BErQs-HE,How an Organ Makes Music,22-Apr-15,335,161,2945,3715,266256,13354.1453,625,2927977,4.8
J-3isA1Kjd0,Organ Recital: J. S. Bach’s Great Eighteen Organ Chorales,8-Nov-20,6909,153,302,496,28133,5101.5596,235,307299,4.26
PFT-m6n_bU8,Handel's Messiah 2024,19-Dec-24,6234,125,3008,2681,141597,39763.6052,1245,2278230,3.99
cn77oZ_CvbE,Sunday Morning Worship Service - 10/18/20 - Dean Luke Powery,18-Oct-20,4430,89,11,27,2225,548.971,13,26507,3.55
TW6yqG4BZoo,Sunday Morning Worship Service - 8/16/20 - Dean Luke A. Powery,16-Aug-20,4097,78,19,12,1706,449.1206,5,14576,4.85
4kPzrah7eH4,Sunday Morning Worship Service - 12/6/20 - Dean Luke A. Powery,6-Dec-20,4233,70,29,19,1908,507.1269,6,20964,4.22
Mg_gkjm4_g0,Sunday Morning Worship Service - 11/1/20 - Dean Luke A. Powery,1-Nov-20,4929,68,19,16,1558,514.5832,5,14388,4.29
7Gdex9--krE,Handel's Messiah 2023,18-Dec-23,6398,63,1036,993,59743,17876.6146,442,1233747,3.14
ZlCshdwhi74,Consecration of The Bishop Suffragan of The Episcopal Diocese of North Carolina,15-Jun-13,11001,63,131,194,42946,7603.4186,123,222049,5.89
UoapXbkFcJg,Sunday Morning Worship Service - 8/23/20 - Dean Luke A. Powery,23-Aug-20,4775,61,27,21,2113,583.6348,4,19358,5.17
BgH3ztyqL4E,Decoding Happiness by Pravrajika Divyanandaprana,1-Apr-23,6786,59,1391,881,34533,9782.6434,508,490708,4.48
1MMCE32auck,Sunday Morning Worship Service - 4/26/20,26-Apr-20,4662,58,19,30,3388,694.6701,12,38094,3.9
9DD9TMSWDy0,Sunday Morning Worship Service - 9/6/20 - Dean Luke A. Powery,6-Sep-20,3979,53,4,18,1455,381.5233,6,16111,4.1
kusT8wig7H0,Sunday Morning Worship Service - 11/15/20 - Rev. Bruce Puckett,15-Nov-20,4510,49,3,18,1993,431.7526,0,20503,4.51
qI3dKOY7S_w,Sunday Morning Worship Service - 9/20/20 - Dean Luke A. Powery,20-Sep-20,4032,49,4,15,1576,426.8742,2,14636,4.52
 -AOzztCfl2g,Sunday Morning Worship Service - 10/25/20 - Rev. Dr. Carol Gregg,25-Oct-20,4245,47,4,23,1639,431.1017,3,18827,3.54
D-nlnyJYnoE,Easter Sunday Morning Worship Service - 4/12/20,12-Apr-20,4449,47,100,66,11016,1986.7672,62,73933,4.5
1tAA6IExiOc,Sunday Morning Worship Service - 10/11/20 - Rev. Bruce Puckett,11-Oct-20,3991,46,10,22,1813,433.3079,5,16217,4.19
w7ym9pO_2vc,"O God, Beyond All Praising (Richard Proulx)",10-May-21,324,46,1074,847,84648,4133.6592,216,477030,7.82
SYXrJRgoHe8,Memorial Service for Life Flight Crew and Patient,20-Sep-17,4176,45,146,71,9376,1491.8064,22,24223,2.84
kmtqYfRB1wA,Let All Mortal Flesh Keep Silence (arr. Chad Fothergill),22-Apr-20,316,45,1607,1158,77676,3735.0134,261,401912,8
6nk07-lBNlM,2023 Air Force and Navy ROTC Commissioning Ceremony,13-May-23,5296,44,12,14,969,93.803,3,15522,2.96
RVNkxoySuFk,Sunday Morning Worship Service - 8/30/20,30-Aug-20,3718,44,8,17,1934,398.1831,7,18900,4.79
RbMjp4M00ME,Sunday Morning Worship Service - 9/13/20 - Rev. Bruce Puckett,13-Sep-20,4236,43,4,21,1807,404.7438,2,18728,4.39
DWNxFTSujCo,Sunday Morning Worship Service - 5/10/20,10-May-20,4415,38,10,17,1917,498.8982,8,21338,3.67
h8qtu0dVZQA,Sunday Morning Worship Service - 7/5/20 - Rev. Bruce Puckett,5-Jul-20,3987,37,8,18,1500,343.2299,6,14577,4.29
9NOyXeU-nw8,Organ Recital: Celebrating the Musical Legacy of Marcel Dupré,21-Feb-21,4414,36,264,365,17315,2691.1344,186,247119,3.5
